Com Name,ISIN,BSE,PM Name,PM Email (man),Contact Number
Reliance Inds.,,500325,asdasda2,abcd@asdas.com,89798797
Reliance Inds.,,500325,asdasda3,mabcd@asdas.com,89798798
Reliance Inds.,,500325,asdasda4,abcd@asdas.com,89798799
Reliance Inds.,,500325,asdasda5,abcd@asdas.com,89798800
Reliance Inds.,,500325,asdasda6,abcd@asdas.com,89798801
Reliance Inds.,,500325,asdasda7,abcd@asdas.com,89798802
TTK Prestige,INE690A01010,,asdasda8,abcd@asdas.com,89798803
TTK Prestige,INE690A01010,,asdasda9,abcd@asdas.com,89798804
TTK Prestige,INE690A01010,,asdasda10,abcd@asdas.com,89798805
TTK Prestige,INE690A01010,,asdasda11,abcd@asdas.com,89798806
TTK Prestige,INE690A01010,,asdasda12,abcd@asdas.com,89798807
